video_filename,analysis_mode,event_id,clip_path,duration_seconds,predicted_confidence_score,predicted_primary_limb,predicted_category,average_visibility_score_mean,pose_lost_frame_count,pose_lost_ratio,corrected_category,corrected_strike_type,coarse_strike_type,left_wrist_max_speed,left_wrist_mean_speed,left_wrist_total_distance,left_wrist_x_displacement,left_wrist_y_displacement,left_wrist_max_x,left_wrist_min_x,left_wrist_max_y,left_wrist_min_y,left_wrist_range_x,left_wrist_range_y,right_wrist_max_speed,right_wrist_mean_speed,right_wrist_total_distance,right_wrist_x_displacement,right_wrist_y_displacement,right_wrist_max_x,right_wrist_min_x,right_wrist_max_y,right_wrist_min_y,right_wrist_range_x,right_wrist_range_y,left_elbow_max_speed,left_elbow_mean_speed,left_elbow_total_distance,left_elbow_x_displacement,left_elbow_y_displacement,left_elbow_max_x,left_elbow_min_x,left_elbow_max_y,left_elbow_min_y,left_elbow_range_x,left_elbow_range_y,right_elbow_max_speed,right_elbow_mean_speed,right_elbow_total_distance,right_elbow_x_displacement,right_elbow_y_displacement,right_elbow_max_x,right_elbow_min_x,right_elbow_max_y,right_elbow_min_y,right_elbow_range_x,right_elbow_range_y,left_ankle_max_speed,left_ankle_mean_speed,left_ankle_total_distance,left_ankle_x_displacement,left_ankle_y_displacement,left_ankle_max_x,left_ankle_min_x,left_ankle_max_y,left_ankle_min_y,left_ankle_range_x,left_ankle_range_y,right_ankle_max_speed,right_ankle_mean_speed,right_ankle_total_distance,right_ankle_x_displacement,right_ankle_y_displacement,right_ankle_max_x,right_ankle_min_x,right_ankle_max_y,right_ankle_min_y,right_ankle_range_x,right_ankle_range_y,left_knee_max_speed,left_knee_mean_speed,left_knee_total_distance,left_knee_x_displacement,left_knee_y_displacement,left_knee_max_x,left_knee_min_x,left_knee_max_y,left_knee_min_y,left_knee_range_x,left_knee_range_y,right_knee_max_speed,right_knee_mean_speed,right_knee_total_distance,right_knee_x_displacement,right_knee_y_displacement,right_knee_max_x,right_knee_min_x,right_knee_max_y,right_knee_min_y,right_knee_range_x,right_knee_range_y,left_hip_max_speed,left_hip_mean_speed,left_hip_total_distance,left_hip_x_displacement,left_hip_y_displacement,left_hip_max_x,left_hip_min_x,left_hip_max_y,left_hip_min_y,left_hip_range_x,left_hip_range_y,right_hip_max_speed,right_hip_mean_speed,right_hip_total_distance,right_hip_x_displacement,right_hip_y_displacement,right_hip_max_x,right_hip_min_x,right_hip_max_y,right_hip_min_y,right_hip_range_x,right_hip_range_y,left_shoulder_max_speed,left_shoulder_mean_speed,left_shoulder_total_distance,left_shoulder_x_displacement,left_shoulder_y_displacement,left_shoulder_max_x,left_shoulder_min_x,left_shoulder_max_y,left_shoulder_min_y,left_shoulder_range_x,left_shoulder_range_y,right_shoulder_max_speed,right_shoulder_mean_speed,right_shoulder_total_distance,right_shoulder_x_displacement,right_shoulder_y_displacement,right_shoulder_max_x,right_shoulder_min_x,right_shoulder_max_y,right_shoulder_min_y,right_shoulder_range_x,right_shoulder_range_y
Kicking Session with Spin and Backkick.mp4,single_athlete_training,1,data\processed\clips\Kicking Session with Spin and Backkick\event_001_kick_candidate_left_ankle_t6p80.mp4,0.5999,0.9714,left_ankle,kick_candidate,0.859783,0,0.0,kick,roundhouse_kick,round_kicks,0.50947,0.193147,0.231736,-0.027808,0.095009,0.621917,0.549258,0.699146,0.577375,0.07266,0.121771,0.208681,0.108533,0.13022,-0.042012,0.049656,0.602584,0.54268,0.668685,0.618111,0.059904,0.050573,0.449273,0.138409,0.166043,-0.051104,0.018772,0.660509,0.567214,0.629165,0.586901,0.093295,0.042264,0.160557,0.075087,0.090086,-0.051559,-0.008513,0.626134,0.564538,0.636493,0.61472,0.061596,0.021772,1.009995,0.539075,0.646699,-0.128194,0.021633,0.730563,0.522747,0.937546,0.667457,0.207816,0.270089,0.194519,0.063283,0.075932,-0.028176,-0.011968,0.590618,0.540959,0.932065,0.91968,0.049659,0.012385,0.832829,0.340909,0.408967,-0.095517,-0.001437,0.685241,0.522586,0.818299,0.670808,0.162656,0.14749,0.176463,0.08498,0.10196,-0.031747,0.001973,0.597912,0.535953,0.807687,0.789231,0.061959,0.018456,0.363785,0.139587,0.167463,-0.06973,-0.013928,0.661905,0.555478,0.72069,0.679147,0.106428,0.041543,0.176733,0.083118,0.099719,-0.054675,-0.017528,0.627717,0.559827,0.72227,0.695468,0.06789,0.026802,0.325414,0.092955,0.111514,-0.059248,-0.002023,0.671894,0.58822,0.554333,0.544693,0.083674,0.00964,0.144641,0.049682,0.059612,-0.046512,-0.012125,0.63116,0.580558,0.564534,0.552409,0.050602,0.012125
Kicking Session with Spin and Backkick.mp4,single_athlete_training,2,data\processed\clips\Kicking Session with Spin and Backkick\event_002_kick_candidate_left_ankle_t13p20.mp4,0.2,0.7042,left_ankle,kick_candidate,0.929975,0,0.0,kick,roundhouse_kick,round_kicks,0.694039,0.262387,0.20983,-0.107328,-0.058224,0.647156,0.539828,0.730358,0.631571,0.107328,0.098787,0.174829,0.089956,0.071946,-0.048377,0.017777,0.613066,0.560138,0.680938,0.654821,0.052929,0.026117,0.618914,0.181857,0.14542,-0.129742,-0.048292,0.691188,0.561446,0.659857,0.605134,0.129742,0.054723,0.207371,0.078539,0.062821,-0.05934,-0.009084,0.643128,0.583789,0.639956,0.630871,0.05934,0.009084,0.791102,0.342348,0.273761,-0.257883,-0.040722,0.749343,0.49146,0.933125,0.888008,0.257883,0.045117,1.745838,0.832379,0.665745,-0.037512,-0.033097,0.599055,0.506088,0.933081,0.593664,0.092967,0.339417,0.754722,0.305312,0.244137,-0.211461,-0.095252,0.713239,0.501778,0.843731,0.748479,0.211461,0.095252,0.938206,0.475297,0.380142,-0.069179,-0.01687,0.611302,0.542123,0.797703,0.60902,0.069179,0.188683,0.430242,0.188072,0.150398,-0.137787,-0.042969,0.691543,0.553756,0.741996,0.697598,0.137787,0.044398,0.302474,0.145597,0.11645,-0.093768,-0.055187,0.658604,0.564836,0.738804,0.681317,0.093768,0.057487,0.405445,0.146776,0.117373,-0.111349,-0.026898,0.694992,0.583643,0.568417,0.541519,0.111349,0.026898,0.174833,0.070974,0.056769,-0.05558,-0.006899,0.6539,0.59832,0.569117,0.562218,0.05558,0.006899
Kicking Session with Spin and Backkick.mp4,single_athlete_training,3,data\processed\clips\Kicking Session with Spin and Backkick\event_003_kick_candidate_left_ankle_t25p39.mp4,0.5999,0.9785,left_ankle,kick_candidate,0.8928,0,0.0,kick,roundhouse_kick,round_kicks,0.385979,0.169927,0.203857,-0.123684,0.079318,0.618651,0.494967,0.67656,0.578754,0.123684,0.097805,0.661456,0.23187,0.278196,-0.081493,0.041349,0.64376,0.55558,0.685752,0.538635,0.088179,0.147117,0.388109,0.141891,0.170216,-0.139613,0.00456,0.648654,0.509041,0.617251,0.580409,0.139613,0.036842,0.273367,0.131206,0.157417,-0.064233,0.022351,0.649413,0.583223,0.627431,0.552434,0.06619,0.074997,1.168422,0.615322,0.738242,-0.186555,0.023921,0.732961,0.432147,0.959911,0.657062,0.300814,0.302849,0.152836,0.065605,0.078716,-0.021505,-0.005231,0.604962,0.557971,0.946481,0.938503,0.046991,0.007978,1.12504,0.380567,0.456506,-0.133247,-0.022435,0.678749,0.499024,0.846364,0.644099,0.179724,0.202265,0.271218,0.094553,0.113431,-0.025291,0.000363,0.599493,0.560645,0.818556,0.770775,0.038847,0.047781,0.475238,0.152479,0.182918,-0.107575,-0.034851,0.659662,0.546642,0.732002,0.652934,0.11302,0.079068,0.292403,0.103064,0.123642,-0.0525,-0.024992,0.632956,0.576276,0.731948,0.67483,0.05668,0.057119,0.291276,0.114949,0.137899,-0.123146,-0.010887,0.660463,0.537317,0.545445,0.514749,0.123146,0.030697,0.14064,0.071746,0.086071,-0.053742,-0.007727,0.640805,0.587063,0.548077,0.520086,0.053742,0.027991
Kicking Session with Spin and Backkick.mp4,single_athlete_training,4,data\processed\clips\Kicking Session with Spin and Backkick\event_004_kick_candidate_left_ankle_t31p99.mp4,0.5999,0.9756,left_ankle,kick_candidate,0.877067,0,0.0,kick,roundhouse_kick,round_kicks,1.058412,0.451089,0.541179,-0.196343,-0.012082,0.677142,0.480799,0.656897,0.473009,0.196343,0.183888,0.823616,0.335736,0.40283,-0.111485,-0.048638,0.612125,0.50064,0.70196,0.537248,0.111485,0.164712,0.900948,0.279896,0.335833,-0.203854,-0.097737,0.719978,0.516124,0.667312,0.523082,0.203854,0.144229,0.374668,0.189964,0.227922,-0.110985,-0.024827,0.642041,0.531056,0.648699,0.573944,0.110985,0.074755,0.908132,0.492353,0.590765,-0.251916,0.011251,0.798818,0.460198,0.949979,0.792889,0.33862,0.15709,0.477212,0.183262,0.219895,-0.059308,-0.017939,0.641225,0.553076,0.947018,0.870576,0.088149,0.076442,0.769655,0.345377,0.414392,-0.221023,-0.063967,0.752449,0.48651,0.859184,0.733376,0.265939,0.125809,0.24638,0.087694,0.105217,-0.086072,-0.004832,0.627239,0.541167,0.816558,0.787501,0.086072,0.029057,0.435829,0.182321,0.218749,-0.181171,-0.076375,0.708101,0.52693,0.764057,0.683011,0.181171,0.081046,0.365098,0.156838,0.188178,-0.138362,-0.070778,0.675195,0.536833,0.761635,0.673999,0.138362,0.087637,0.443424,0.15702,0.18839,-0.173114,-0.05871,0.712115,0.539002,0.587899,0.529189,0.173114,0.05871,0.261285,0.121909,0.146272,-0.112585,-0.047296,0.665272,0.552687,0.589824,0.542528,0.112585,0.047296
Kicking Session with Spin and Backkick.mp4,single_athlete_training,5,data\processed\clips\Kicking Session with Spin and Backkick\event_005_kick_candidate_left_ankle_t37p19.mp4,0.4,0.9689,left_ankle,kick_candidate,0.84254,0,0.0,kick,roundhouse_kick,round_kicks,0.433421,0.222036,0.221968,-0.079028,0.040653,0.669148,0.551737,0.693159,0.604503,0.117411,0.088656,0.431318,0.1801,0.180043,-0.012217,0.149446,0.577633,0.525413,0.653173,0.503727,0.05222,0.149446,0.267124,0.148824,0.148784,-0.081669,0.023927,0.692475,0.583608,0.650363,0.617246,0.108867,0.033117,0.13465,0.074731,0.074711,-0.011439,0.044889,0.599468,0.565244,0.615097,0.570208,0.034224,0.044889,1.537796,0.629977,0.62981,-0.031765,0.001102,0.60706,0.497746,0.956523,0.665508,0.109314,0.291015,0.688242,0.412377,0.412291,-0.042249,0.022931,0.652341,0.492218,0.942579,0.821104,0.160123,0.121475,0.596483,0.26301,0.262943,-0.018664,0.013183,0.600413,0.55664,0.831543,0.704809,0.043772,0.126735,0.47327,0.234655,0.234628,-0.0139,0.014309,0.605798,0.523938,0.810779,0.725487,0.081861,0.085292,0.216938,0.110797,0.110766,-0.067204,-0.018624,0.669796,0.585418,0.737864,0.712359,0.084378,0.025505,0.210342,0.103952,0.103922,-0.060154,-0.031299,0.651607,0.57374,0.735264,0.70147,0.077868,0.033794,0.130834,0.085517,0.085498,-0.051329,-0.005111,0.672364,0.621035,0.571591,0.544738,0.051329,0.026852,0.101463,0.051926,0.05191,-0.027357,-0.0014,0.630438,0.596147,0.56677,0.552159,0.034291,0.014611
Kicking Session with Spin and Backkick.mp4,single_athlete_training,6,data\processed\clips\Kicking Session with Spin and Backkick\event_006_kick_candidate_left_ankle_t41p39.mp4,0.2,0.7725,left_ankle,kick_candidate,0.880875,0,0.0,kick,roundhouse_kick,round_kicks,0.319514,0.108655,0.086917,-0.080609,0.009381,0.623927,0.543318,0.648285,0.638903,0.080609,0.009381,0.141902,0.092566,0.07404,-0.045717,-0.033912,0.640508,0.594791,0.675893,0.63195,0.045717,0.043943,0.433916,0.138769,0.111012,-0.100696,-0.036094,0.672393,0.571697,0.63784,0.597132,0.100696,0.040708,0.192049,0.066165,0.052929,-0.034855,-0.026099,0.657343,0.622488,0.644063,0.612652,0.034855,0.031411,1.082072,0.351909,0.28151,-0.246272,-0.061168,0.781258,0.534985,0.971963,0.877678,0.246272,0.094285,2.353545,0.841126,0.672804,-0.013736,-0.292182,0.599269,0.486415,0.974469,0.515313,0.112854,0.459156,1.114067,0.369893,0.295905,-0.158555,-0.113317,0.712018,0.549684,0.897146,0.744524,0.162334,0.152622,1.375298,0.500408,0.400272,0.007653,-0.175439,0.611005,0.565255,0.82872,0.554513,0.04575,0.274207,0.396705,0.186715,0.149362,-0.11468,-0.077525,0.683862,0.569181,0.759836,0.67546,0.11468,0.084377,0.386666,0.170821,0.136644,-0.058641,-0.068866,0.662046,0.603406,0.754585,0.661325,0.058641,0.09326,0.33491,0.11527,0.092213,-0.087655,-0.025561,0.69328,0.605625,0.564818,0.539035,0.087655,0.025783,0.115711,0.03609,0.02887,-0.016445,-0.01124,0.663251,0.641974,0.555537,0.544298,0.021278,0.01124
Kicking Session with Spin and Backkick.mp4,single_athlete_training,8,data\processed\clips\Kicking Session with Spin and Backkick\event_008_kick_candidate_left_ankle_t44p39.mp4,0.7998,0.9716,left_ankle,kick_candidate,0.855957,0,0.0,kick,roundhouse_kick,round_kicks,0.52863,0.263771,0.36921,0.098797,0.208482,0.711652,0.57981,0.742154,0.533672,0.131842,0.208482,0.488484,0.255046,0.356989,0.085724,0.193935,0.694066,0.527805,0.719966,0.526031,0.166261,0.193935,0.284876,0.141097,0.197504,0.078579,0.039208,0.704662,0.617562,0.664093,0.611965,0.0871,0.052127,0.305958,0.177671,0.248691,0.083366,0.054864,0.698758,0.571709,0.645665,0.569571,0.127049,0.076094,1.102529,0.483431,0.676725,0.037691,0.030634,0.642301,0.543734,0.987554,0.64926,0.098567,0.338294,1.197233,0.601738,0.84226,0.150635,0.001308,0.764877,0.484122,0.94675,0.711626,0.280755,0.235124,0.53676,0.348314,0.487552,0.044055,0.032807,0.646906,0.587398,0.861546,0.617742,0.059508,0.243804,0.794663,0.415946,0.582184,0.106271,0.011667,0.719448,0.543179,0.833245,0.658878,0.176269,0.174366,0.235124,0.121599,0.170201,-0.003468,-0.010278,0.680138,0.631394,0.740773,0.686004,0.048744,0.054769,0.322747,0.153111,0.214316,0.006078,-0.015558,0.683101,0.608949,0.736294,0.670115,0.074151,0.066179,0.232885,0.109941,0.153894,0.015687,-0.034354,0.687296,0.653031,0.615585,0.532067,0.034265,0.083518,0.235872,0.105992,0.148374,0.033059,-0.025338,0.686705,0.617038,0.57246,0.525318,0.069667,0.047142
Kicking Session with Spin and Backkick.mp4,single_athlete_training,10,data\processed\clips\Kicking Session with Spin and Backkick\event_010_kick_candidate_left_ankle_t48p59.mp4,0.3999,0.9741,left_ankle,kick_candidate,0.87086,0,0.0,kick,roundhouse_kick,round_kicks,0.349847,0.198255,0.198199,0.02818,0.118506,0.627346,0.554255,0.678446,0.552606,0.073092,0.12584,0.403139,0.151593,0.151583,-0.032431,0.089951,0.665079,0.596535,0.709182,0.619231,0.068544,0.089951,0.2165,0.127638,0.127597,0.032473,0.053407,0.656188,0.584069,0.646309,0.592901,0.072119,0.053407,0.244042,0.085999,0.085991,-0.014219,0.025915,0.673265,0.627084,0.643241,0.615936,0.046181,0.027305,1.692544,0.804316,0.804132,0.035498,0.056514,0.721754,0.517341,0.97447,0.624799,0.204413,0.349671,1.52096,0.643745,0.643613,-0.021242,-0.014297,0.607848,0.494036,0.970966,0.662054,0.113813,0.308913,1.071335,0.468574,0.468451,0.026021,0.030338,0.643239,0.562396,0.876844,0.639482,0.080843,0.237362,0.677037,0.330749,0.330709,0.000664,0.005445,0.611504,0.560952,0.836247,0.678633,0.050552,0.157614,0.384899,0.183295,0.183247,0.002724,0.010539,0.649005,0.594848,0.741976,0.665633,0.054157,0.076343,0.185506,0.104659,0.104641,-0.003754,0.0016,0.645063,0.607905,0.735451,0.702389,0.037157,0.033062,0.182771,0.095418,0.095386,0.01149,0.021212,0.671255,0.62323,0.554657,0.533143,0.048025,0.021515,0.075395,0.03803,0.038021,0.008802,0.010765,0.670486,0.65634,0.558671,0.545846,0.014146,0.012825
Kicking Session with Spin and Backkick.mp4,single_athlete_training,11,data\processed\clips\Kicking Session with Spin and Backkick\event_011_kick_candidate_left_ankle_t55p19.mp4,0.9998,0.9598,left_ankle,kick_candidate,0.79115,0,0.0,kick,roundhouse_kick,round_kicks,1.367836,0.374054,0.598311,0.22296,0.164935,0.913175,0.674306,0.803556,0.581919,0.238869,0.221637,0.584801,0.233134,0.372952,0.113294,0.096986,0.784763,0.660253,0.75446,0.634142,0.12451,0.120319,0.689123,0.249806,0.399574,0.201929,0.023564,0.890202,0.676875,0.692525,0.56751,0.213327,0.125015,0.588094,0.175238,0.280334,0.150512,0.020516,0.790623,0.622788,0.65413,0.609522,0.167835,0.044608,1.904899,0.675644,1.080819,0.246894,0.071066,0.848203,0.521594,1.029254,0.585641,0.32661,0.443613,1.741056,0.491169,0.785777,0.309203,0.465305,0.828394,0.501122,1.047678,0.582373,0.327271,0.465305,0.724315,0.348074,0.556822,0.197093,0.131825,0.831378,0.606717,0.951699,0.677659,0.224661,0.27404,0.599516,0.276089,0.441681,0.216301,0.273897,0.786757,0.570457,0.935087,0.66119,0.216301,0.273897,0.46859,0.171781,0.274757,0.160449,0.040796,0.838199,0.669954,0.766162,0.690225,0.168245,0.075936,0.350863,0.133683,0.213846,0.144598,0.062638,0.794464,0.642305,0.759197,0.690131,0.15216,0.069065,0.425103,0.197629,0.316123,0.150948,-0.085016,0.845731,0.694783,0.612856,0.468779,0.150948,0.144077,0.466888,0.144639,0.231385,0.133553,-0.066259,0.791999,0.658446,0.576332,0.476562,0.133553,0.09977
Kicking Session with Spin and Backkick.mp4,single_athlete_training,12,data\processed\clips\Kicking Session with Spin and Backkick\event_012_kick_candidate_left_ankle_t58p79.mp4,0.7998,0.9516,left_ankle,kick_candidate,0.760357,0,0.0,kick,back_kick,spinning_kicks,0.550988,0.260894,0.365155,-0.108813,-0.010678,0.77284,0.604902,0.783669,0.650734,0.167938,0.132935,0.731279,0.293471,0.410808,-0.078977,0.031926,0.745525,0.61874,0.786222,0.596364,0.126785,0.189857,0.81698,0.23598,0.330333,-0.137965,-0.054896,0.812912,0.600733,0.680557,0.612647,0.212179,0.06791,0.488504,0.165823,0.232138,-0.063581,-0.062767,0.73467,0.613412,0.683584,0.587687,0.121258,0.095897,1.84199,0.660663,0.924664,-0.165278,0.028095,0.79767,0.47511,0.939887,0.60321,0.32256,0.336677,1.110583,0.400797,0.560937,-0.057101,-0.104433,0.652337,0.503647,0.982259,0.803206,0.14869,0.179053,0.891859,0.349581,0.489303,-0.18158,-0.127803,0.829021,0.564408,0.923568,0.70872,0.264614,0.214847,0.585761,0.188613,0.26398,-0.078228,-0.115352,0.677459,0.599231,0.887065,0.770569,0.078228,0.116497,0.545944,0.184448,0.258189,-0.118919,-0.100042,0.773024,0.607118,0.791917,0.691875,0.165906,0.100042,0.362127,0.130247,0.182297,-0.097967,-0.11051,0.718363,0.618749,0.790576,0.680066,0.099614,0.11051,0.613793,0.175749,0.246019,-0.102071,-0.022665,0.786735,0.6306,0.590813,0.547829,0.156135,0.042984,0.218031,0.104986,0.146963,-0.076531,-0.049249,0.72033,0.628488,0.5851,0.517808,0.091842,0.067292
