video_filename,analysis_mode,event_id,clip_path,predicted_category,predicted_primary_limb,predicted_confidence_score,corrected_category,corrected_strike_type,is_valid_strike,notes,created_at,model_suggested_strike_type,model_prediction_confidence,model_top_3_predictions
Kicking Session with Spin and Backkick.mp4,single_athlete_training,1,data\processed\clips\Kicking Session with Spin and Backkick\event_001_kick_candidate_left_ankle_t6p80.mp4,kick_candidate,left_ankle,0.9714,kick,roundhouse_kick,True,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,2,data\processed\clips\Kicking Session with Spin and Backkick\event_002_kick_candidate_left_ankle_t13p20.mp4,kick_candidate,left_ankle,0.7042,kick,roundhouse_kick,True,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,3,data\processed\clips\Kicking Session with Spin and Backkick\event_003_kick_candidate_left_ankle_t25p39.mp4,kick_candidate,left_ankle,0.9785,kick,roundhouse_kick,True,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,4,data\processed\clips\Kicking Session with Spin and Backkick\event_004_kick_candidate_left_ankle_t31p99.mp4,kick_candidate,left_ankle,0.9756,kick,roundhouse_kick,True,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,5,data\processed\clips\Kicking Session with Spin and Backkick\event_005_kick_candidate_left_ankle_t37p19.mp4,kick_candidate,left_ankle,0.9689,kick,roundhouse_kick,True,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,6,data\processed\clips\Kicking Session with Spin and Backkick\event_006_kick_candidate_left_ankle_t41p39.mp4,kick_candidate,left_ankle,0.7725,kick,roundhouse_kick,True,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,8,data\processed\clips\Kicking Session with Spin and Backkick\event_008_kick_candidate_left_ankle_t44p39.mp4,kick_candidate,left_ankle,0.9716,kick,roundhouse_kick,True,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,9,data\processed\clips\Kicking Session with Spin and Backkick\event_009_kick_candidate_left_ankle_t45p79.mp4,kick_candidate,left_ankle,0.6684,false_positive,unknown,False,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,10,data\processed\clips\Kicking Session with Spin and Backkick\event_010_kick_candidate_left_ankle_t48p59.mp4,kick_candidate,left_ankle,0.9741,kick,roundhouse_kick,True,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,11,data\processed\clips\Kicking Session with Spin and Backkick\event_011_kick_candidate_left_ankle_t55p19.mp4,kick_candidate,left_ankle,0.9598,kick,roundhouse_kick,True,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,12,data\processed\clips\Kicking Session with Spin and Backkick\event_012_kick_candidate_left_ankle_t58p79.mp4,kick_candidate,left_ankle,0.9516,kick,back_kick,True,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,14,data\processed\clips\Kicking Session with Spin and Backkick\event_014_kick_candidate_left_ankle_t62p79.mp4,kick_candidate,left_ankle,0.8072,kick,spinninghook_kick,True,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,15,data\processed\clips\Kicking Session with Spin and Backkick\event_015_kick_candidate_left_ankle_t64p19.mp4,kick_candidate,left_ankle,0.6793,false_positive,unknown,False,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,17,data\processed\clips\Kicking Session with Spin and Backkick\event_017_kick_candidate_left_ankle_t71p79.mp4,kick_candidate,left_ankle,0.6782,kick,spinninghook_kick,True,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,18,data\processed\clips\Kicking Session with Spin and Backkick\event_018_kick_candidate_left_ankle_t72p39.mp4,kick_candidate,left_ankle,0.9157,kick,spinninghook_kick,True,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,19,data\processed\clips\Kicking Session with Spin and Backkick\event_019_kick_candidate_left_ankle_t76p58.mp4,kick_candidate,left_ankle,0.6132,false_positive,unknown,False,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,20,data\processed\clips\Kicking Session with Spin and Backkick\event_020_kick_candidate_left_ankle_t77p78.mp4,kick_candidate,left_ankle,0.6306,false_positive,unknown,False,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,21,data\processed\clips\Kicking Session with Spin and Backkick\event_021_punch_candidate_left_wrist_t13p20.mp4,punch_candidate,left_wrist,0.7867,kick,roundhouse_kick,True,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,23,data\processed\clips\Kicking Session with Spin and Backkick\event_023_punch_candidate_left_wrist_t31p99.mp4,punch_candidate,left_wrist,0.9756,kick,roundhouse_kick,True,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,25,data\processed\clips\Kicking Session with Spin and Backkick\event_025_punch_candidate_left_wrist_t44p19.mp4,punch_candidate,left_wrist,0.6709,kick,roundhouse_kick,True,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,26,data\processed\clips\Kicking Session with Spin and Backkick\event_026_punch_candidate_left_wrist_t52p39.mp4,punch_candidate,left_wrist,0.6658,kick,roundhouse_kick,True,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,27,data\processed\clips\Kicking Session with Spin and Backkick\event_027_punch_candidate_left_wrist_t56p39.mp4,punch_candidate,left_wrist,0.8307,false_positive,unknown,False,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,30,data\processed\clips\Kicking Session with Spin and Backkick\event_030_punch_candidate_left_wrist_t62p79.mp4,punch_candidate,left_wrist,0.8034,kick,spinninghook_kick,True,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,32,data\processed\clips\Kicking Session with Spin and Backkick\event_032_punch_candidate_left_wrist_t75p98.mp4,punch_candidate,left_wrist,0.6517,false_positive,unknown,False,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,35,data\processed\clips\Kicking Session with Spin and Backkick\event_035_kick_candidate_right_ankle_t13p40.mp4,kick_candidate,right_ankle,0.9822,kick,roundhouse_kick,True,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,36,data\processed\clips\Kicking Session with Spin and Backkick\event_036_kick_candidate_right_ankle_t22p00.mp4,kick_candidate,right_ankle,0.9179,kick,roundhouse_kick,True,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,37,data\processed\clips\Kicking Session with Spin and Backkick\event_037_kick_candidate_right_ankle_t37p19.mp4,kick_candidate,right_ankle,0.9249,kick,roundhouse_kick,True,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,38,data\processed\clips\Kicking Session with Spin and Backkick\event_038_kick_candidate_right_ankle_t41p59.mp4,kick_candidate,right_ankle,0.9723,kick,roundhouse_kick,True,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,39,data\processed\clips\Kicking Session with Spin and Backkick\event_039_kick_candidate_right_ankle_t44p19.mp4,kick_candidate,right_ankle,0.9708,kick,roundhouse_kick,True,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,40,data\processed\clips\Kicking Session with Spin and Backkick\event_040_kick_candidate_right_ankle_t48p79.mp4,kick_candidate,right_ankle,0.9724,kick,roundhouse_kick,True,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,41,data\processed\clips\Kicking Session with Spin and Backkick\event_041_kick_candidate_right_ankle_t52p19.mp4,kick_candidate,right_ankle,0.8444,kick,roundhouse_kick,True,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,42,data\processed\clips\Kicking Session with Spin and Backkick\event_042_kick_candidate_right_ankle_t54p99.mp4,kick_candidate,right_ankle,0.9612,kick,back_kick,True,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,43,data\processed\clips\Kicking Session with Spin and Backkick\event_043_kick_candidate_right_ankle_t55p99.mp4,kick_candidate,right_ankle,0.68,false_positive,unknown,False,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,45,data\processed\clips\Kicking Session with Spin and Backkick\event_045_kick_candidate_right_ankle_t58p99.mp4,kick_candidate,right_ankle,0.9223,kick,back_kick,True,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,47,data\processed\clips\Kicking Session with Spin and Backkick\event_047_kick_candidate_right_ankle_t63p99.mp4,kick_candidate,right_ankle,0.6903,kick,spinninghook_kick,True,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,49,data\processed\clips\Kicking Session with Spin and Backkick\event_049_kick_candidate_right_ankle_t76p58.mp4,kick_candidate,right_ankle,0.5664,false_positive,unknown,False,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,50,data\processed\clips\Kicking Session with Spin and Backkick\event_050_kick_candidate_right_ankle_t77p78.mp4,kick_candidate,right_ankle,0.6409,false_positive,unknown,False,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,55,data\processed\clips\Kicking Session with Spin and Backkick\event_055_punch_candidate_right_wrist_t31p99.mp4,punch_candidate,right_wrist,0.8478,kick,roundhouse_kick,True,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,56,data\processed\clips\Kicking Session with Spin and Backkick\event_056_punch_candidate_right_wrist_t36p99.mp4,punch_candidate,right_wrist,0.854,kick,roundhouse_kick,True,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,58,data\processed\clips\Kicking Session with Spin and Backkick\event_058_punch_candidate_right_wrist_t44p19.mp4,punch_candidate,right_wrist,0.8468,kick,roundhouse_kick,True,,2026-04-28T20:20:53,,,
Kicking Session with Spin and Backkick.mp4,single_athlete_training,61,data\processed\clips\Kicking Session with Spin and Backkick\event_061_punch_candidate_right_wrist_t58p79.mp4,punch_candidate,right_wrist,0.706,kick,back_kick,True,,2026-04-28T20:20:53,,,
Kicking Session.mp4,single_athlete_training,2,data\processed\clips\Kicking Session\event_002_kick_candidate_left_ankle_t6p80.mp4,kick_candidate,left_ankle,0.8295,kick,roundhouse_kick,True,,2026-04-28T21:02:43,,,
