video_filename,event_id,clip_path,predicted_category,predicted_primary_limb,predicted_confidence_score,corrected_category,corrected_strike_type,is_valid_strike,notes,created_at
Kicking Session with Spin and Backkick.mp4,1,data\processed\clips\Kicking Session with Spin and Backkick\event_001_kick_candidate_left_ankle_t6p80.mp4,kick_candidate,left_ankle,0.9714,kick,roundhouse_kick,TRUE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,2,data\processed\clips\Kicking Session with Spin and Backkick\event_002_kick_candidate_left_ankle_t13p20.mp4,kick_candidate,left_ankle,0.7042,kick,roundhouse_kick,TRUE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,3,data\processed\clips\Kicking Session with Spin and Backkick\event_003_kick_candidate_left_ankle_t25p39.mp4,kick_candidate,left_ankle,0.9785,kick,roundhouse_kick,TRUE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,4,data\processed\clips\Kicking Session with Spin and Backkick\event_004_kick_candidate_left_ankle_t31p99.mp4,kick_candidate,left_ankle,0.9756,kick,roundhouse_kick,TRUE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,5,data\processed\clips\Kicking Session with Spin and Backkick\event_005_kick_candidate_left_ankle_t37p19.mp4,kick_candidate,left_ankle,0.9689,kick,roundhouse_kick,TRUE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,6,data\processed\clips\Kicking Session with Spin and Backkick\event_006_kick_candidate_left_ankle_t41p39.mp4,kick_candidate,left_ankle,0.7725,kick,roundhouse_kick,TRUE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,8,data\processed\clips\Kicking Session with Spin and Backkick\event_008_kick_candidate_left_ankle_t44p39.mp4,kick_candidate,left_ankle,0.9716,kick,roundhouse_kick,TRUE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,9,data\processed\clips\Kicking Session with Spin and Backkick\event_009_kick_candidate_left_ankle_t45p79.mp4,kick_candidate,left_ankle,0.6684,false_positive,unknown,FALSE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,10,data\processed\clips\Kicking Session with Spin and Backkick\event_010_kick_candidate_left_ankle_t48p59.mp4,kick_candidate,left_ankle,0.9741,kick,roundhouse_kick,TRUE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,11,data\processed\clips\Kicking Session with Spin and Backkick\event_011_kick_candidate_left_ankle_t55p19.mp4,kick_candidate,left_ankle,0.9598,kick,back_kick,TRUE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,12,data\processed\clips\Kicking Session with Spin and Backkick\event_012_kick_candidate_left_ankle_t58p79.mp4,kick_candidate,left_ankle,0.9516,kick,back_kick,TRUE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,14,data\processed\clips\Kicking Session with Spin and Backkick\event_014_kick_candidate_left_ankle_t62p79.mp4,kick_candidate,left_ankle,0.8072,kick,spinninghook_kick,TRUE,,2026-04-28T12:07:40
